"","chr22"
"16680",132224
"16681",132225
"16682",132234
"16683",132243
"16684",132244
"16685",132251
"16686",132260
"16687",132265
"16688",132273
"16689",132290
"16690",132291
"16691",132300
"16692",132331
"16693",132333
"16694",132345
"16695",132349
"16696",132350
"16697",132370
"16698",132387
"16699",132396
"16700",132405
"16701",132434
"16702",132452
"16703",132467
"16704",132477
"16705",132488
"16706",132506
"16707",132510
"16708",132513
"16709",132532
"16710",132602
"16711",132608
"16712",132629
"16713",132633
"16714",132641
"16715",132646
"16716",132665
"16717",132666
"16718",132684
"16719",132695
"16720",132710
"16721",132732
"16722",132737
"16723",132749
"16724",132768
"16725",132770
"16726",132772
"16727",132788
"16728",132804
"16729",132828
"16730",132829
"16731",132836
"16732",132850
"16733",132851
"16734",132855
"16735",132876
"16736",132920
"16737",132927
"16738",132929
"16739",132938
"16740",132939
"16741",132944
"16742",132958
"16743",132976
"16744",132977
"16745",132997
"16746",132999
"16747",133003
"16748",133007
"16749",133013
"16750",133016
"16751",133032
"16752",133040
"16753",133055
"16754",133064
"16755",133076
"16756",133080
"16757",133090
"16758",133102
"16759",133107
"16760",133121
"16761",133126
"16762",133128
"16763",133130
"16764",133137
"16765",133147
"16766",133149
"16767",133162
"16768",133190
"16769",133217
"16770",133232
"16771",133233
"16772",133241
"16773",133247
"16774",133264
"16775",133269
"16776",133275
"16777",133297
"16778",133308
"16779",133311
"16780",133320
"16781",133326
"16782",133347
"16783",133351
"16784",133359
"16785",133377
"16786",133381
"16787",133383
"16788",133396
"16789",133398
"16790",133415
"16791",133419
"16792",133433
"16793",133441
"16794",133448
"16795",133454
"16796",133486
"16797",133493
"16798",133497
"16799",133502
"16800",133506
"16801",133511
"16802",133520
"16803",133528
"16804",133533
"16805",133546
"16806",133560
"16807",133567
"16808",133572
"16809",133573
"16810",133574
"16811",133579
"16812",133582
"16813",133587
"16814",133604
"16815",133609
"16816",133614
"16817",133633
"16818",133635
"16819",133642
"16820",133648
"16821",133662
"16822",133673
"16823",133682
"16824",133693
"16825",133697
"16826",133698
"16827",133709
"16828",133713
"16829",133715
"16830",133718
"16831",133719
"16832",133722
"16833",133724
"16834",133730
"16835",133738
"16836",133744
"16837",133753
"16838",133758
"16839",133766
"16840",133767
"16841",133768
"16842",133785
"16843",133786
"16844",133788
"16845",133789
"16846",133799
"16847",133817
"16848",133818
"16849",133820
"16850",133824
"16851",133827
"16852",133860
"16853",133861
"16854",133883
"16855",133886
"16856",133894
"16857",133912
"16858",133918
"16859",133921
"16860",133925
"16861",133927
"16862",133928
"16863",133940
"16864",133941
"16865",133944
"16866",133966
"16867",133977
"16868",133986
"16869",133990
"16870",133996
"16871",134023
"16872",134026
"16873",134031
"16874",134036
"16875",134039
"16876",134043
"16877",134047
"16878",134070
"16879",134076
"16880",134083
"16881",134092
"16882",134093
"16883",134099
"16884",134111
"16885",134137
"16886",134139
"16887",134145
"16888",134148
"16889",134158
"16890",134160
"16891",134166
"16892",134170
"16893",134176
"16894",134209
"16895",134211
"16896",134225
"16897",134227
"16898",134238
"16899",134240
"16900",134252
"16901",134258
"16902",134276
"16903",134285
"16904",134288
"16905",134291
"16906",134296
"16907",134298
"16908",134311
"16909",134313
"16910",134316
"16911",134328
"16912",134332
"16913",134338
"16914",134348
"16915",134365
"16916",134369
"16917",134371
"16918",134375
"16919",134385
"16920",134399
"16921",134400
"16922",134403
"16923",134408
"16924",134412
"16925",134417
"16926",134433
"16927",134443
"16928",134446
"16929",134458
"16930",134462
"16931",134468
"16932",134471
"16933",134478
"16934",134479
"16935",134480
"16936",134495
"16937",134504
"16938",134507
"16939",134543
"16940",134559
"16941",134568
"16942",134580
"16943",134585
"16944",134600
"16945",134601
"16946",134604
"16947",134605
"16948",134606
"16949",134609
"16950",134614
"16951",134616
"16952",134617
"16953",134619
"16954",134624
"16955",134632
"16956",134633
"16957",134651
"16958",134668
"16959",134670
"16960",134683
"16961",134696
"16962",134704
"16963",134718
"16964",134729
"16965",134731
"16966",134735
"16967",134736
"16968",134741
"16969",134753
"16970",134754
"16971",134758
"16972",134761
"16973",134772
"16974",134779
"16975",134781
"16976",134783
"16977",134787
"16978",134797
"16979",134800
"16980",134809
"16981",134818
"16982",134821
"16983",134826
"16984",134832
"16985",134837
"16986",134839
"16987",134843
"16988",134854
"16989",134856
"16990",134867
"16991",134881
"16992",134882
"16993",134885
"16994",134890
"16995",134892
"16996",134898
"16997",134911
"16998",134912
"16999",134913
"17000",134919
"17001",134920
"17002",134928
"17003",134929
"17004",134932
"17005",134941
"17006",134942
"17007",134950
"17008",134951
"17009",134959
"17010",134990
"17011",134991
"17012",135000
"17013",135004
"17014",135009
"17015",135025
"17016",135029
"17017",135034
"17018",135047
"17019",135053
"17020",135065
"17021",135078
"17022",135109
"17023",135116
"17024",135138
"17025",135148
"17026",135151
"17027",135161
"17028",135164
"17029",135166
"17030",135173
"17031",135179
"17032",135180
"17033",135187
"17034",135216
"17035",135217
"17036",135219
"17037",135231
"17038",135245
"17039",135252
"17040",135253
"17041",135255
"17042",135258
"17043",135268
"17044",135270
"17045",135275
"17046",135276
"17047",135280
"17048",135283
"17049",135301
"17050",135311
"17051",135319
"17052",135342
"17053",135343
"17054",135344
"17055",135349
"17056",135368
"17057",135370
"17058",135383
"17059",135391
"17060",135392
"17061",135393
"17062",135398
"17063",135410
"17064",135411
"17065",135423
"17066",135426
"17067",135427
"17068",135450
"17069",135459
"17070",135460
"17071",135474
"17072",135476
"17073",135477
"17074",135483
"17075",135494
"17076",135496
"17077",135510
"17078",135511
"17079",135517
"17080",135535
"17081",135537
"17082",135539
"17083",135540
"17084",135541
"17085",135550
"17086",135556
"17087",135564
"17088",135569
"17089",135590
"17090",135599
"17091",135600
"17092",135607
"17093",135616
"17094",135624
"17095",135626
"17096",135635
"17097",135636
"17098",135639
"17099",135642
"17100",135646
"17101",135661
"17102",135664
"17103",135668
"17104",135675
"17105",135692
"17106",135704
"17107",135705
"17108",135709
"17109",135714
"17110",135726
"17111",135736
"17112",135740
"17113",135759
"17114",135760
"17115",135762
"17116",135767
"17117",135770
"17118",135772
"17119",135773
"17120",135774
"17121",135775
"17122",135779
"17123",135790
"17124",135807
"17125",135815
"17126",135828
"17127",135856
"17128",135857
"17129",135859
"17130",135873
"17131",135882
"17132",135900
"17133",135902
"17134",135904
"17135",135922
"17136",135924
"17137",135928
"17138",135932
"17139",135939
"17140",135945
"17141",135954
"17142",135955
"17143",135956
"17144",135963
"17145",135964
"17146",135971
"17147",136011
"17148",136015
"17149",136026
"17150",136031
"17151",136045
"17152",136046
"17153",136047
"17154",136050
"17155",136051
"17156",136058
"17157",136063
"17158",136069
"17159",136074
"17160",136085
"17161",136090
"17162",136107
"17163",136112
"17164",136116
"17165",136123
"17166",136163
"17167",136170
"17168",136177
"17169",136179
"17170",136181
"17171",136182
"17172",136184
"17173",136187
"17174",136204
"17175",136205
"17176",136209
"17177",136228
"17178",136230
"17179",136235
"17180",136238
"17181",136241
"17182",136255
"17183",136259
"17184",136260
"17185",136261
"17186",136276
"17187",136277
"17188",136287
"17189",136288
"17190",136300
"17191",136307
"17192",136310
"17193",136315
"17194",136320
"17195",136325
"17196",136327
"17197",136328
"17198",136340
"17199",136344
"17200",136345
"17201",136348
"17202",136353
"17203",136355
"17204",136356
"17205",136366
"17206",136368
"17207",136371
"17208",136377
"17209",136378
"17210",136379
"17211",136382
"17212",136385
"17213",136387
"17214",136392
"17215",136394
"17216",136397
"17217",136400
"17218",136403
"17219",136404
"17220",136426
"17221",136431
"17222",136439
"17223",136444
"17224",136449
"17225",136451
"17226",136455
"17227",136456
"17228",136460
"17229",136463
"17230",136464
"17231",136467
"17232",136471
"17233",136472
"17234",136491
"17235",136496
"17236",136497
"17237",136500
"17238",136501
"17239",136511
"17240",136519
"17241",136539
"17242",136558
"17243",136562
"17244",136563
"17245",136565
"17246",136567
"17247",136570
"17248",136581
"17249",136583
"17250",136595
"17251",136600
"17252",136601
"17253",136604
"17254",136608
"17255",136615
"17256",136616
"17257",136618
"17258",136621
"17259",136622
"17260",136623
"17261",136624
"17262",136626
"17263",136627
"17264",136630
"17265",136633
"17266",136643
"17267",136649
"17268",136652
"17269",136664
"17270",136666
"17271",136671
"17272",136673
"17273",136686
"17274",136694
"17275",136696
"17276",136698
"17277",136702
"17278",136705
"17279",136708
"17280",136713
"17281",136721
"17282",136734
"17283",136735
"17284",136737
"17285",136739
"17286",136740
"17287",136745
"17288",136747
"17289",136751
"17290",136753
"17291",136756
"17292",136760
"17293",136776
"17294",136778
"17295",136789
"17296",136793
"17297",136804
"17298",136808
"17299",136816
"17300",136818
"17301",136834
"17302",136836
"17303",136838
"17304",136841
"17305",136844
"17306",136851
"17307",136853
"17308",136857
"17309",136861
"17310",136862
"17311",136873
"17312",136884
"17313",136886
"17314",136904
"17315",136905
"17316",136906
"17317",136908
"17318",136910
"17319",136914
"17320",136923
"17321",136924
"17322",136925
"17323",136926
"17324",136933
"17325",136934
"17326",136938
"17327",136939
"17328",136945
"17329",136949
"17330",136952
"17331",136953
"17332",136955
"17333",136965
"17334",136967
"17335",136968
"17336",136987
"17337",136988
"17338",136999
"17339",137007
"17340",137011
"17341",137018
"17342",137019
"17343",137022
"17344",137025
"17345",137030
"17346",137031
"17347",137033
"17348",137035
"17349",137037
"17350",137040
"17351",137042
"17352",137043
"17353",137051
"17354",137055
"17355",137056
"17356",137058
"17357",137067
"17358",137068
"17359",137070
"17360",137072
"17361",137080
"17362",137083
"17363",137085
"17364",137087
"17365",137098
"17366",137104
"17367",137108
"17368",137114
"17369",137120
"17370",137123
"17371",137130
"17372",137149
"17373",137162
"17374",137170
"17375",137184
"17376",137220
"17377",137222
"17378",137225
"17379",137226
"17380",137227
"17381",137228
"17382",137233
"17383",137238
"17384",137244
"17385",137247
"17386",137251
"17387",137257
"17388",137263
"17389",137264
"17390",137266
"17391",137268
"17392",137269
"17393",137280
"17394",137281
"17395",137291
"17396",137299
"17397",137301
"17398",137310
"17399",137313
"17400",137316
"17401",137319
"17402",137323
"17403",137324
"17404",137338
"17405",137342
"17406",137353
"17407",137354
"17408",137356
"17409",137360
"17410",137362
"17411",137365
"17412",137367
"17413",137371
"17414",137373
"17415",137377
"17416",137378
"17417",137390
"17418",137396
"17419",137399
"17420",137407
"17421",137409
"17422",137417
"17423",137421
"17424",137423
"17425",137429
"17426",137432
"17427",137437
"17428",137442
"17429",137446
"17430",137450
"17431",137451
"17432",137454
"17433",137457
"17434",137458
"17435",137460
"17436",137462
"17437",137466
"17438",137467
"17439",137473
"17440",137475
"17441",137481
"17442",137486
"17443",137495
"17444",137496
"17445",137518
"17446",137522
"17447",137523
"17448",137529
"17449",137530
"17450",137531
"17451",137537
"17452",137542
"17453",137543
"17454",137545
"17455",137546
"17456",137547
"17457",137553
"17458",137568
"17459",137574
"17460",137575
"17461",137579
"17462",137583
"17463",137585
"17464",137592
"17465",137598
"17466",137601
"17467",137605
"17468",137607
"17469",137611
"17470",137630
"17471",137634
"17472",137656
"17473",137658
"17474",137659
"17475",137668
"17476",137670
"17477",137674
"17478",137679
"17479",137686
"17480",137691
"17481",137692
"17482",137694
"17483",137695
"17484",137701
"17485",137704
"17486",137706
"17487",137709
"17488",137713
"17489",137721
"17490",137723
"17491",137728
"17492",137729
"17493",137748
"17494",137755
"17495",137757
"17496",137760
"17497",137776
"17498",137778
"17499",137780
"17500",137782
"17501",137785
"17502",137794
"17503",137795
"17504",137798
"17505",137805
"17506",137823
"17507",137838
"17508",137840
"17509",137843
"17510",137856
"17511",137865
"17512",137871
"17513",137874
"17514",137877
"17515",137879
"17516",137887
"17517",137888
"17518",137891
"17519",137892
"17520",137893
"17521",137904
"17522",137905
"17523",137907
"17524",137909
"17525",137915
"17526",137917
"17527",137921
"17528",137922
"17529",137928
"17530",137938
"17531",137939
"17532",137940
"17533",137951
"17534",137958
"17535",137959
"17536",137968
"17537",137970
"17538",137971
"17539",137980
"17540",137982
"17541",137984
"17542",137985
"17543",137991
"17544",137996
"17545",137998
"17546",138000
"17547",138010
"17548",138013
"17549",138015
"17550",138017
"17551",138020
"17552",138024
"17553",138025
"17554",138032
"17555",138033
"17556",138038
"17557",138040
"17558",138053
"17559",138056
"17560",138064
"17561",138069
"17562",138070
"17563",138076
"17564",138077
"17565",138085
"17566",138087
"17567",138095
"17568",138097
"17569",138100
"17570",138101
"17571",138108
"17572",138113
"17573",138116
"17574",138117
"17575",138118
"17576",138130
"17577",138139
"17578",138140
"17579",138141
"17580",138143
"17581",138146
"17582",138148
"17583",138150
"17584",138154
"17585",138155
"17586",138157
"17587",138161
"17588",138163
"17589",138164
"17590",138175
"17591",138183
"17592",138186
"17593",138187
"17594",138193
"17595",138197
"17596",138198
"17597",138200
"17598",138202
"17599",138203
"17600",138205
"17601",138207
"17602",138208
"17603",138215
"17604",138226
"17605",138236
"17606",138237
"17607",138241
"17608",138250
"17609",138251
"17610",138253
"17611",138255
"17612",138257
"17613",138275
"17614",138282
"17615",138285
"17616",138287
"17617",138290
"17618",138300
"17619",138314
"17620",138316
"17621",138317
"17622",138320
"17623",138325
"17624",138329
"17625",138339
"17626",138342
"17627",138347
"17628",138349
"17629",138352
"17630",138355
"17631",138356
"17632",138382
"17633",138383
"17634",138388
"17635",138395
"17636",138396
"17637",138401
"17638",138406
"17639",138412
"17640",138422
"17641",138424
"17642",138426
"17643",138427
"17644",138428
"17645",138429
"17646",138431
"17647",138434
"17648",138438
"17649",138444
"17650",138445
"17651",138471
"17652",138474
"17653",138476
"17654",138478
"17655",138492
"17656",138501
"17657",138504
"17658",138513
"17659",138518
"17660",138524
"17661",138532
"17662",138533
"17663",138537
"17664",138540
"17665",138543
"17666",138545
"17667",138546
"17668",138549
"17669",138558
"17670",138560
"17671",138561
"17672",138564
"17673",138569
"17674",138579
"17675",138580
"17676",138581
"17677",138583
"17678",138585
"17679",138587
"17680",138592
"17681",138593
"17682",138597
"17683",138599
"17684",138605
"17685",138606
"17686",138610
"17687",138616
"17688",138619
"17689",138624
"17690",138650
"17691",138655
"17692",138661
"17693",138678
"17694",138680
"17695",138705
"17696",138714
"17697",138719
"17698",138722
"17699",138732
"17700",138738
"17701",138739
"17702",138744
"17703",138746
"17704",138751
"17705",138755
"17706",138757
"17707",138767
"17708",138768
"17709",138773
"17710",138775
"17711",138776
"17712",138792
"17713",138795
"17714",138797
"17715",138802
"17716",138803
"17717",138809
"17718",138822
"17719",138826
"17720",138832
"17721",138844
"17722",138847
"17723",138857
"17724",138860
"17725",138862
"17726",138864
"17727",138865
"17728",138868
"17729",138871
"17730",138875
"17731",138876
"17732",138880
"17733",138885
"17734",138886
"17735",138888
"17736",138889
"17737",138890
"17738",138893
"17739",138894
"17740",138899
"17741",138903
"17742",138905
"17743",138907
"17744",138908
"17745",138909
"17746",138915
"17747",138919
"17748",138920
"17749",138921
"17750",138923
"17751",138924
"17752",138927
"17753",138934
"17754",138937
"17755",138947
"17756",138948
"17757",138951
"17758",138955
"17759",138956
"17760",138959
"17761",138965
"17762",138967
"17763",138979
"17764",138982
"17765",138987
"17766",138989
"17767",138992
"17768",138993
"17769",138994
"17770",138995
"17771",139002
"17772",139016
"17773",139019
"17774",139024
"17775",139029
"17776",139034
"17777",139037
"17778",139043
"17779",139046
"17780",139051
"17781",139058
"17782",139059
"17783",139060
"17784",139068
"17785",139070
"17786",139071
"17787",139073
"17788",139079
"17789",139080
"17790",139087
"17791",139099
"17792",139101
"17793",139102
"17794",139104
"17795",139105
"17796",139106
"17797",139109
"17798",139112
"17799",139119
"17800",139123
"17801",139128
"17802",139132
"17803",139135
"17804",139136
"17805",139137
"17806",139147
"17807",139148
"17808",139150
"17809",139155
"17810",139157
"17811",139162
"17812",139170
"17813",139172
"17814",139173
"17815",139174
"17816",139178
"17817",139179
"17818",139180
"17819",139181
"17820",139186
"17821",139187
"17822",139188
"17823",139191
"17824",139195
"17825",139196
"17826",139202
"17827",139203
"17828",139205
"17829",139208
"17830",139212
"17831",139213
"17832",139214
"17833",139224
"17834",139226
"17835",139229
"17836",139231
"17837",139239
"17838",139241
"17839",139244
"17840",139245
"17841",139246
"17842",139248
"17843",139249
"17844",139254
"17845",139263
"17846",139265
"17847",139267
"17848",139268
"17849",139272
"17850",139273
"17851",139274
"17852",139275
"17853",139276
"17854",139277
"17855",139280
"17856",139283
"17857",139290
"17858",139291
"17859",139292
"17860",139295
"17861",139297
"17862",139298
"17863",139305
"17864",139307
"17865",139308
"17866",139322
"17867",139323
"17868",139325
"17869",139333
"17870",139334
"17871",139337
"17872",139340
"17873",139345
"17874",139350
"17875",139351
"17876",139352
"17877",139353
"17878",139354
"17879",139356
"17880",139359
"17881",139362
"17882",139363
"17883",139365
"17884",139366
"17885",139372
"17886",139378
"17887",139380
"17888",139384
"17889",139386
"17890",139387
"17891",139389
"17892",139393
"17893",139395
"17894",139397
"17895",139398
"17896",139399
"17897",139403
"17898",139405
"17899",139407
"17900",139409
"17901",139415
"17902",139417
"17903",139418
"17904",139419
"17905",139421
"17906",139424
"17907",139425
"17908",139427
"17909",139429
"17910",139431
"17911",139432
"17912",139433
"17913",139434
"17914",139435
"17915",139436
"17916",139438
"17917",139441
"17918",139443
"17919",139448
"17920",139451
"17921",139455
"17922",139456
"17923",139458
"17924",139460
"17925",139464
"17926",139467
"17927",139470
"17928",139472
"17929",139476
"17930",139480
"17931",139484
"17932",139488
"17933",139490
"17934",139492
"17935",139495
"17936",139498
"17937",139499
"17938",139501
"17939",139502
"17940",139503
"17941",139505
"17942",139511
"17943",139516
"17944",139519
"17945",139523
"17946",139524
"17947",139526
"17948",139527
"17949",139528
"17950",139529
"17951",139533
"17952",139539
"17953",139541
"17954",139542
"17955",139544
"17956",139546
"17957",139548
"17958",139550
"17959",139551
"17960",139554
"17961",139555
"17962",139556
"17963",139558
"17964",139563
"17965",139564
"17966",139565
"17967",139579
"17968",139581
"17969",139588
"17970",139589
"17971",139590
"17972",139591
"17973",139592
"17974",139594
"17975",139597
"17976",139598
"17977",139600
"17978",139601
"17979",139607
"17980",139609
"17981",139613
"17982",139614
"17983",139620
"17984",139622
"17985",139634
"17986",139636
"17987",139638
"17988",139640
"17989",139641
"17990",139643
"17991",139646
"17992",139648
"17993",139650
"17994",139651
"17995",139653
"17996",139665
"17997",139666
"17998",139676
"17999",139680
"18000",139681
"18001",139682
"18002",139684
"18003",139687
"18004",139689
"18005",139694
"18006",139699
"18007",139700
"18008",139701
"18009",139702
"18010",139703
"18011",139706
"18012",139708
"18013",139712
"18014",139713
"18015",139715
"18016",139724
"18017",139728
"18018",139729
"18019",139731
"18020",139733
"18021",139740
"18022",139747
"18023",139748
"18024",139749
"18025",139753
"18026",139754
"18027",139756
"18028",139758
"18029",139763
"18030",139764
"18031",139765
"18032",139767
"18033",139770
"18034",139778
"18035",139781
"18036",139790
"18037",139794
"18038",139797
"18039",139798
"18040",139800
"18041",139808
"18042",139809
"18043",139811
"18044",139814
"18045",139818
"18046",139819
"18047",139820
"18048",139823
"18049",139826
"18050",139827
"18051",139829
"18052",139830
"18053",139832
"18054",139847
"18055",139848
"18056",139852
"18057",139854
"18058",139862
"18059",139866
"18060",139870
"18061",139875
"18062",139885
"18063",139890
"18064",139893
"18065",139900
"18066",139902
"18067",139904
"18068",139909
"18069",139910
"18070",139911
"18071",139914
"18072",139919
"18073",139923
"18074",139924
"18075",139927
"18076",139928
"18077",139931
"18078",139932
"18079",139942
"18080",139945
"18081",139947
"18082",139950
"18083",139955
"18084",139956
"18085",139957
"18086",139972
"18087",139988
"18088",139991
"18089",139993
"18090",139994
"18091",139997
"18092",140003
"18093",140011
"18094",140021
"18095",140024
"18096",140025
"18097",140026
"18098",140029
"18099",140032
"18100",140033
"18101",140034
"18102",140040
"18103",140055
"18104",140058
"18105",140061
"18106",140062
"18107",140063
"18108",140067
"18109",140068
"18110",140069
"18111",140075
"18112",140077
"18113",140079
"18114",140082
"18115",140085
"18116",140086
"18117",140089
"18118",140091
"18119",140101
"18120",140103
"18121",140104
"18122",140108
"18123",140109
"18124",140110
"18125",140115
"18126",140125
"18127",140126
"18128",140132
"18129",140136
"18130",140144
"18131",140146
"18132",140147
"18133",140149
"18134",140150
"18135",140153
"18136",140155
"18137",140156
"18138",140160
"18139",140161
"18140",140165
"18141",140167
"18142",140171
"18143",140176
"18144",140188
"18145",140190
"18146",140198
"18147",140199
"18148",140203
"18149",140209
"18150",140210
"18151",140215
"18152",140216
"18153",140223
"18154",140224
"18155",140227
"18156",140235
"18157",140240
"18158",140245
"18159",140247
"18160",140249
"18161",140250
"18162",140253
"18163",140255
"18164",140256
"18165",140258
"18166",140263
"18167",140265
"18168",140266
"18169",140267
"18170",140270
"18171",140271
"18172",140272
"18173",140274
"18174",140275
"18175",140277
"18176",140279
"18177",140281
"18178",140283
"18179",140299
"18180",140301
"18181",140302
"18182",140304
"18183",140305
"18184",140306
"18185",140309
"18186",140313
"18187",140316
"18188",140318
"18189",140319
"18190",140323
"18191",140325
"18192",140327
"18193",140340
"18194",140345
"18195",140353
"18196",140354
"18197",140357
"18198",140359
"18199",140367
"18200",140371
"18201",140372
"18202",140373
"18203",140375
"18204",140377
"18205",140385
"18206",140390
"18207",140393
"18208",140395
"18209",140399
"18210",140403
"18211",140405
"18212",140408
"18213",140410
"18214",140411
"18215",140413
"18216",140415
"18217",140420
"18218",140421
"18219",140422
"18220",140423
"18221",140424
"18222",140427
"18223",140428
"18224",140431
"18225",140434
"18226",140435
"18227",140439
"18228",140441
"18229",140446
"18230",140447
"18231",140450
"18232",140452
"18233",140460
"18234",140464
"18235",140465
"18236",140466
"18237",140469
"18238",140477
"18239",140478
"18240",140479
"18241",140481
"18242",140483
"18243",140487
"18244",140495
"18245",140500
"18246",140504
"18247",140505
"18248",140506
"18249",140510
"18250",140513
"18251",140515
"18252",140516
"18253",140518
"18254",140519
"18255",140523
"18256",140525
"18257",140528
"18258",140529
"18259",140534
"18260",140539
"18261",140546
"18262",140547
"18263",140548
"18264",140550
"18265",140552
"18266",140554
"18267",140565
"18268",140571
"18269",140578
"18270",140591
"18271",140593
"18272",140596
"18273",140598
"18274",140599
"18275",140600
"18276",140603
"18277",140605
"18278",140606
"18279",140607
"18280",140609
"18281",140614
"18282",140616
"18283",140625
"18284",140628
"18285",140629
"18286",140631
"18287",140633
"18288",140639
"18289",140650
"18290",140652
"18291",140656
"18292",140658
"18293",140659
"18294",140660
"18295",140661
"18296",140662
"18297",140666
"18298",140670
"18299",140671
"18300",140674
"18301",140675
"18302",140679
"18303",140683
"18304",140684
"18305",140685
"18306",140689
"18307",140690
"18308",140691
"18309",140695
"18310",140697
"18311",140702
"18312",140703
"18313",140707
"18314",140709
"18315",140711
"18316",140721
"18317",140725
"18318",140734
"18319",140739
"18320",140742
"18321",140745
"18322",140748
"18323",140754
"18324",140766
"18325",140772
"18326",140778
"18327",140779
"18328",140792
"18329",140794
"18330",140796
"18331",140798
"18332",140800
"18333",140801
"18334",140803
"18335",140810
"18336",140814
"18337",140822
"18338",140823
"18339",140832
"18340",140836
"18341",140843
"18342",140845
"18343",140846
"18344",140849
"18345",140851
"18346",140861
"18347",140866
"18348",140868
"18349",140870
"18350",140874
"18351",140875
"18352",140876
"18353",140877
"18354",140880
"18355",140882
"18356",140894
"18357",140898
"18358",140899
"18359",140900
"18360",140901
"18361",140903
"18362",140910
"18363",140914
"18364",140917
"18365",140933
"18366",140953
"18367",140956
"18368",140964
"18369",140973
"18370",140974
"18371",140977
"18372",140993
"18373",140994
"18374",140999
"18375",141000
"18376",141006
"18377",141010
"18378",141012
"18379",141014
"18380",141017
"18381",141024
"18382",141025
"18383",141032
"18384",141034
"18385",141040
"18386",141043
"18387",141048
"18388",141054
"18389",141060
"18390",141064
"18391",141066
"18392",141069
"18393",141075
"18394",141079
"18395",141084
"18396",141086
"18397",141090
"18398",141096
"18399",141098
"18400",141108
"18401",141114
"18402",141115
"18403",141116
"18404",141121
"18405",141126
"18406",141128
"18407",141140
"18408",141145
"18409",141156
"18410",141175
"18411",141176
"18412",141191
"18413",141197
"18414",141204
"18415",141210
"18416",141211
"18417",141225
"18418",141226
"18419",141228
"18420",141234
"18421",141238
"18422",141241
"18423",141252
"18424",141256
"18425",141261
"18426",141265
"18427",141293
"18428",141294
"18429",141303
"18430",141311
"18431",141316
"18432",141317
"18433",141325
"18434",141335
"18435",141337
"18436",141351
"18437",141360
"18438",141367
"18439",141381
"18440",141382
"18441",141387
"18442",141391
"18443",141405
"18444",141417
"18445",141424
"18446",141452
"18447",141457
"18448",141462
"18449",141466
"18450",141473
"18451",141484
"18452",141488
"18453",141493
"18454",141501
"18455",141503
"18456",141508
"18457",141511
"18458",141514
"18459",141521
"18460",141526
"18461",141528
"18462",141538
"18463",141548
"18464",141551
"18465",141552
"18466",141554
"18467",141561
"18468",141565
"18469",141569
"18470",141583
"18471",141584
"18472",141600
"18473",141602
"18474",141603
"18475",141611
"18476",141628
"18477",141631
"18478",141632
"18479",141635
"18480",141637
"18481",141640
"18482",141641
"18483",141649
"18484",141650
"18485",141651
"18486",141653
"18487",141659
"18488",141666
"18489",141669
"18490",141671
"18491",141681
"18492",141682
"18493",141691
"18494",141693
"18495",141696
"18496",141698
"18497",141707
"18498",141713
"18499",141723
"18500",141724
"18501",141725
"18502",141728
"18503",141731
"18504",141732
"18505",141737
"18506",141751
"18507",141760
"18508",141775
"18509",141779
"18510",141780
"18511",141791
"18512",141798
"18513",141801
"18514",141808
"18515",141823
"18516",141830
"18517",141831
"18518",141853
"18519",141855
"18520",141863
"18521",141876
"18522",141880
"18523",141881
"18524",141885
"18525",141888
"18526",141901
"18527",141907
"18528",141911
"18529",141912
"18530",141917
"18531",141918
"18532",141922
"18533",141939
"18534",141943
"18535",141951
"18536",141952
"18537",141954
"18538",141961
"18539",141980
"18540",141987
"18541",141996
"18542",142002
"18543",142006
"18544",142011
"18545",142022
"18546",142023
"18547",142034
"18548",142063
"18549",142064
"18550",142065
"18551",142068
"18552",142072
"18553",142091
"18554",142113
"18555",142116
"18556",142127
"18557",142157
"18558",142172
"18559",142177
"18560",142190
"18561",142195
"18562",142205
"18563",142210
"18564",142226
"18565",142234
"18566",142243
"18567",142246
"18568",142254
"18569",142261
"18570",142262
"18571",142282
"18572",142284
"18573",142289
"18574",142294
"18575",142295
"18576",142305
"18577",142308
"18578",142321
"18579",142323
"18580",142324
"18581",142326
"18582",142330
"18583",142354
"18584",142361
"18585",142370
"18586",142372
"18587",142376
"18588",142378
"18589",142380
"18590",142386
"18591",142388
"18592",142391
"18593",142400
"18594",142402
"18595",142407
"18596",142410
"18597",142417
"18598",142429
"18599",142430
"18600",142445
"18601",142447
"18602",142451
"18603",142455
"18604",142457
"18605",142458
"18606",142461
"18607",142465
"18608",142485
"18609",142486
"18610",142496
"18611",142503
"18612",142516
"18613",142520
"18614",142521
"18615",142524
"18616",142553
"18617",142560
"18618",142562
"18619",142585
"18620",142603
"18621",142616
"18622",142622
"18623",142628
"18624",142631
"18625",142651
"18626",142654
"18627",142660
"18628",142673
"18629",142681
"18630",142684
"18631",142689
"18632",142692
"18633",142702
"18634",142710
"18635",142714
"18636",142716
"18637",142720
"18638",142723
"18639",142732
"18640",142746
"18641",142767
"18642",142768
"18643",142779
"18644",142782
"18645",142809
"18646",142814
"18647",142826
"18648",142829
"18649",142834
"18650",142845
"18651",142864
"18652",142867
"18653",142869
"18654",142874
"18655",142910
"18656",142917
"18657",142918
"18658",142924
"18659",142932
"18660",142933
"18661",142935
"18662",142938
"18663",142939
"18664",142944
"18665",142947
"18666",142954
"18667",142961
"18668",142978
"18669",142979
"18670",142987
"18671",142998
"18672",143009
"18673",143022
"18674",143032
"18675",143033
"18676",143037
"18677",143047
"18678",143049
